ﷲ تعالی انہیں اپنی آیات قرار دیتا ہے۔
اب اچانک ہر چیز بدلتی نظر آتی ہے۔
اب اس کا کیا جواب ہو سکتا ہے؟
اب اسباب کا کھوج لگایا جا رہا ہے۔
اب اصلا مادی بقا کا چیلنج درپیش تھا۔
اب اگر کوئی اصلاح کا علم بردار ہے۔
اب ان کے پاس قوت نافذہ بھی ہے۔
اب ان کے خلاف فیصلے صادر کررہے ہیں۔
اب ان کے سیاسی راہنما نواز شریف تھے۔
اب انہیں دو کام کرنے کی ضرورت ہے۔
اب ایسے معلوم ہوتاہے ، جیسے کچھ تھا۔
اب ایکدم سنٹر سٹیج (-) کھڑ ے ہیں۔
اب بچوں کو ہنستا دیکھ کر، کون ہے۔
اب بھی کون کس کو جواب دہ ہے؟
اب تحریک انصاف کا تجربہ بھی یہی ہے۔
اب تشویش کے ساتھ خوف بھی شامل تھا۔
اب تقسیم کار کا اصول کارفرما ہونا چاہیے۔
اب تو اس میں خاطر خواہ پیسہ ہے۔
اب تو شہر کے عین وسط میں ہے۔
اب تو ہم با قاعدہ سینئر سٹیزن ہیں۔
اب تو وہ خود اجازت کے محتاج ہیں۔
اب جب وہ گھیرے میں آ چکی ہے۔
اب جماعت اپنی اصلی حالت میں آچکی ہے۔
اب جو سعودی عرب میں براجمان اقتدار ہیں۔
اب حکومت کے پاس صرف ایک راستہ ہے۔
اب دنیا کا معروف تصور انقلاب کیا ہے؟
اب دوبارہ سے وہ میدان میں اترا ہے۔
اب دیکھیں، نئے آرمی چیف نے کیا کیا؟
اب روز بروز اس میں اضافہ ہو گا۔
اب سڑکوں کا جال بھی بچھ چکا ہے۔
اب سیاسی محاذ بھی گرم ہو رہا ہے۔
اب صورت حال تیزی سے بدل رہی ہے۔
اب عمر منصور نرائے کے پاس قیادت ہے۔
اب عمران خان کو کیا کر نا چاہیے؟
اب قومی مزاج کا حصہ بن چکی ہے۔
اب کسی ایسے قدم کی گنجائش نہیں رہی۔
اب لبرل اقدار محترم اور مقدس ہو گئیں۔
اب ماشاء اللہ بائیس کروڑ ہو چلے ہیں۔
اب محرومی کی تعریف بھی بدل گئی ہے۔
اب مدارس کا معاملہ کون حل کرے گا؟
اب معاملہ تحویل کا نہیں، ملکیت کا ہے۔
اب میرا آدھا دن سوتے گزر جاتا ہے۔
اب میں زندگی کے اس مرحلے پر تھا۔
اب نہ ڈرانے کا سامان رہ گیا ہے۔
اب نواز شریف کس پہ الزام دھریں گے؟
اب نواز شریف کو اپنا فیصلہ سنانا ہے۔
اب ہمارا شمار سینئر سٹیزن میں ہوتا ہے۔
اب ہمارا وقت چینیوں سے سیکھنے کا ہے۔
اب ہمارے دروازے کا راستہ ہی نہیں کرتے۔
اب وہ چینل اس کی گرفت میں ہے۔
اب وہ قصہ ٔ پارینہ بن چکے ہیں۔
اب وہ لینے والا نہیں، دینے والا ہے۔
اب یہ معاملہ نظری بحث کا بھی ہے۔
اب یہاں کوئی نہیں، کوئی نہیں آئے گا؟
ابراہیم اس جنگ کے فاتحین کے سرخیل ہیں۔
ابن خلدون کا تصورعصبیت ایک عمرانی نظریہ ہے۔
ابہام عدم یک سوئی سے جنم لیتا ہے۔
ابہام غلط رائے سے زیادہ نقصان دہ ہے۔
ابھی پردۂ تقدیر میں میری نگاہوں میں ہے۔
ابھی پردہء تقدیر میں میری نگاہوں میں ہے۔
ابھی تک انہوں نے سرکس ہی سجایا ہے۔
ابھی تو شروع کا سین مکمل ہوا ہے۔
ابھی رسالت مآبﷺ کی تدفین نہیں ہوئی تھی۔
ابھی کتاب آئی نہیں تو یہ حالت ہے۔
ابو غریب کے عقوبت خانے آباد کرتی ہیں۔
اپنے اوپر مختلف قسم کے جنون سوار کیے۔
اپنے بچوں کو انگریزی سکولوں میں بھیجتے ہیں۔
اپنے تہذیبی وجود کے بارے میں حساس ہوں۔
اپنے رزق سے انسان برسر پیکار نہیں ہوتا۔
اپنی خداداد ذہانت کو بروئے کار لاتے ہیں۔
